Title	Season	Producer	Singer	Date	Dislike	Like	View	URL	LD-Ratio
Dhaani	1	Rohail Hyaat	"Strings, Ustaad Gullu"	" Dec 7, 2010"	56	"1,790"	"419,320 views"	https://www.youtube.com/watch?v=hwqb6fZ4sCU	0.031284916
Durr	1	Rohail Hyaat	"Strings, Ustaad Gullu"	" Dec 8, 2010"	172	"6,507"	"1,153,176 views"	https://www.youtube.com/watch?v=CUIuDciyNX0	0.026433072
Anjane	1	Rohail Hyaat	Strings	" Dec 8, 2010"	20	652	"167,984 views"	https://www.youtube.com/watch?v=0rP337lC_cI	0.030674847
Sar Kiyae	1	Rohail Hyaat	Strings	" Dec 8, 2010"	129	"4,303"	"666,700 views"	https://www.youtube.com/watch?v=V33jn1civAQ	0.029979084
Zinda	1	Rohail Hyaat	Strings	" Dec 8, 2010"	295	"7,998"	"1,537,269 views"	https://www.youtube.com/watch?v=KjF-iRLPIak	0.036884221
Jam Session	1	Rohail Hyaat	Ustaad Gullu	" Dec 8, 2010"	20	411	"67,348 views"	https://www.youtube.com/watch?v=hBe9nGmIOKU	0.0486618
To Kia Hua	4	Rohail Hyaat	Bilal Khan	" May 18, 2011"	721	"26,747"	"5,381,740 views"	https://www.youtube.com/watch?v=cOfPDZSqXMk	0.026956294
Ik Aarzu	4	Rohail Hyaat	Jal	" May 18, 2011"	378	"11,439"	"2,708,483 views"	https://www.youtube.com/watch?v=RY2i_RsQmMw	0.033044847
Kuch Hai	4	Rohail Hyaat	Mizraab	" May 18, 2011"	64	"1,341"	"371,044 views"	https://www.youtube.com/watch?v=FhlIHb3SKyw	0.047725578
Daanah Pah Daanah	4	Rohail Hyaat	"Akhtar Channal, Komal Rizvi"	" May 18, 2011"	"3,743"	"61,937"	"13,484,042 views"	https://www.youtube.com/watch?v=u3F7kcLrGvA	0.060432375
Sighra Aaween Saanwal Yaar	4	Rohail Hyaat	Sanam Marvi	" May 18, 2011"	59	"1,781"	"360,743 views"	https://www.youtube.com/watch?v=OuIg9NGAnVc	0.033127456
Kirkir kirkir	4	Rohail Hyaat	Sajjad Ali	" May 31, 2011"	126	"3,986"	"912,192 views"	https://www.youtube.com/watch?v=MQEO0lx9l00	0.031610637
Senraan Ra Baariya	4	Rohail Hyaat	"Asif Hussain Samraat, Zoe Viccaji"	" Jun 1, 2011"	28	"2,129"	"328,070 views"	https://www.youtube.com/watch?v=9h7p4-15ZNU	0.013151714
Nindiya re	4	Rohail Hyaat	Kaavish	" Jun 1, 2011"	633	"25,275"	"4,741,644 views"	https://www.youtube.com/watch?v=nAIxCBm3ULk	0.02504451
